CODE,CENTER_LAT,CENTER_LON
5107082,7.500000000000002,82.5
5107083,7.500000000000002,83.5
5107084,7.500000000000002,84.5
5107085,7.500000000000002,85.5
5107086,7.500000000000002,86.5
5107087,7.500000000000002,87.5
5107088,7.500000000000002,88.5
5107089,7.500000000000002,89.5
5107090,7.500000000000002,90.5
5107091,7.500000000000002,91.5
5107092,7.500000000000002,92.5
5107093,7.515380021279516,93.48423838889943
5107094,7.500000000000002,94.5
5107095,7.500000000000002,95.5
5107096,7.500000000000002,96.5
5107097,7.500000000000002,97.5
5107098,7.4840789524942295,98.50059941104617
5107099,7.275344546116937,99.24758217448391
5108049,8.035977575603859,49.964993329574526
5108050,8.439368765768616,50.61588293446951
5108051,8.500000000000002,51.5
5108052,8.500000000000002,52.5
5108053,8.500000000000002,53.5
5108054,8.500000000000002,54.5
5108055,8.500000000000002,55.5
5108056,8.500000000000002,56.5
5108057,8.500000000000002,57.5
5108058,8.500000000000002,58.5
5108059,8.500000000000002,59.5
5108060,8.500000000000002,60.5
5108061,8.500000000000002,61.5
5108062,8.500000000000002,62.5
5108063,8.500000000000002,63.5
5108064,8.500000000000002,64.5
5108065,8.500000000000002,65.5
5108066,8.500000000000002,66.5
5108067,8.500000000000002,67.5
5108068,8.500000000000002,68.5
5108069,8.500000000000002,69.5
5108070,8.500000000000002,70.5
5108071,8.500000000000002,71.5
5108072,8.500000000000002,72.5
5108073,8.500135526906542,73.50026521074771
5108074,8.500000000000002,74.5
5108075,8.500000000000002,75.5
5108076,8.443773657903385,76.43505264940904
5108077,8.113086969463605,77.4989268428657
5108078,8.474850330729334,78.54624476522795
5108079,8.520378372390127,79.43830549617262
5108080,8.978622396399494,80.96946364479486
5108081,8.560087283765059,81.61814303206252
5108082,8.500000000000002,82.5
5108083,8.500000000000002,83.5
5108084,8.500000000000002,84.5
5108085,8.500000000000002,85.5
5108086,8.500000000000002,86.5
5108087,8.500000000000002,87.5
5108088,8.500000000000002,88.5
5108089,8.500000000000002,89.5
5108090,8.500000000000002,90.5
5108091,8.500000000000002,91.5
5108092,8.49997107229554,92.49996880761472
5108093,8.50761397094257,93.50293429318924
5108094,8.500000000000002,94.5
5108095,8.500000000000002,95.5
5108096,8.500000000000002,96.5
5108097,8.499918776395418,97.49990573393838
5108098,8.397005297352724,98.24985456530761
5109050,9.391554906482947,50.87140690715249
5109051,9.500000000000002,51.5
5109052,9.500000000000002,52.5
5109053,9.500000000000002,53.5
5109054,9.500000000000002,54.5
5109055,9.500000000000002,55.5
5109056,9.500000000000002,56.5
5109057,9.500000000000002,57.5
5109058,9.500000000000002,58.5
5109059,9.500000000000002,59.5
5109060,9.500000000000002,60.5
5109061,9.500000000000002,61.5
5109062,9.500000000000002,62.5
5109063,9.500000000000002,63.5
5109064,9.500000000000002,64.5
5109065,9.500000000000002,65.5
5109066,9.500000000000002,66.5
5109067,9.500000000000002,67.5
5109068,9.500000000000002,68.5
5109069,9.500000000000002,69.5
5109070,9.500000000000002,70.5
5109071,9.500000000000002,71.5
5109072,9.500000000000002,72.5
5109073,9.500000000000002,73.5
5109074,9.500000000000002,74.5
5109075,9.500000000000002,75.5
5109076,9.434515184322361,76.17734881923032
5109078,9.154545691711489,78.7655625185186
5109079,9.490230976782351,79.51021513085256
5109080,9.650454231212908,80.58159724822629
5109081,9.500000000000002,81.5
5109082,9.500000000000002,82.5
5109083,9.500000000000002,83.5
5109084,9.500000000000002,84.5
5109085,9.500000000000002,85.5
5109086,9.500000000000002,86.5
5109087,9.500000000000002,87.5
5109088,9.500000000000002,88.5
5109089,9.500000000000002,89.5
5109090,9.500000000000002,90.5
5109091,9.500000000000002,91.5
5109092,9.50334139496933,92.49727427050419
5109093,9.500000000000002,93.5
5109094,9.500000000000002,94.5
5109095,9.500000000000002,95.5
5109096,9.500000000000002,96.5
5109097,9.500179279271178,97.49875926662935
5109098,9.552335659796979,98.22945737455257
5110043,10.879071488678573,43.88082683785169
5110044,10.728253514178736,44.5244911960714
5110045,10.822182292525424,45.38545081529014
5110046,10.878637284133413,46.450938737030285
5110047,10.981701939240336,47.035933579741666
5110050,10.170980718655851,50.950281812457725
5110051,10.484631509141812,51.54359036947163
5110052,10.500000000000002,52.5
5110053,10.500000000000002,53.5
5110054,10.500000000000002,54.5
5110055,10.500000000000002,55.5
5110056,10.500000000000002,56.5
5110057,10.500000000000002,57.5
5110058,10.500000000000002,58.5
5110059,10.500000000000002,59.5
5110060,10.500000000000002,60.5
5110061,10.500000000000002,61.5
5110062,10.500000000000002,62.5
5110063,10.500000000000002,63.5
5110064,10.500000000000002,64.5
5110065,10.500000000000002,65.5
5110066,10.500000000000002,66.5
5110067,10.500000000000002,67.5
5110068,10.500000000000002,68.5
5110069,10.500000000000002,69.5
5110070,10.500000000000002,70.5
5110071,10.500000000000002,71.5
5110072,10.499919167541488,72.50004369464281
5110073,10.500198649457,73.4999200633547
5110074,10.500000000000002,74.5
5110075,10.487654309080433,75.48436735293606
5110076,10.205720431521254,76.07486812957993
5110079,10.30454856944303,79.72150329318184
5110080,10.500000000000002,80.5
5110081,10.500000000000002,81.5
5110082,10.500000000000002,82.5
5110083,10.500000000000002,83.5
5110084,10.500000000000002,84.5
5110085,10.500000000000002,85.5
5110086,10.500000000000002,86.5
5110087,10.500000000000002,87.5
5110088,10.500000000000002,88.5
5110089,10.500000000000002,89.5
5110090,10.500000000000002,90.5
5110091,10.500000000000002,91.5
5110092,10.487725913812366,92.50182509310444
5110093,10.500000000000002,93.5
5110094,10.500000000000002,94.5
5110095,10.500000000000002,95.5
5110096,10.500000000000002,96.5
5110097,10.499300106562915,97.49606688440741
5110098,10.505832815260263,98.27514556273452
5111042,11.639493239954756,42.81568865835566
5111043,11.575540148267777,43.61387889867965
5111044,11.500000000000002,44.5
5111045,11.500000000000002,45.5
5111046,11.500000000000002,46.5
5111047,11.556780572487863,47.49088421883606
5111048,11.62335488444451,48.48390411225242
5111049,11.687663943882752,49.46146493988327
5111050,11.813139558005318,50.29065931685557
5111051,11.496351072673807,51.56788484568332
5111052,11.500000000000002,52.5
5111053,11.500000000000002,53.5
5111054,11.500000000000002,54.5
5111055,11.500000000000002,55.5
5111056,11.500000000000002,56.5
5111057,11.500000000000002,57.5
5111058,11.500000000000002,58.5
5111059,11.500000000000002,59.5
5111060,11.500000000000002,60.5
5111061,11.500000000000002,61.5
5111062,11.500000000000002,62.5
5111063,11.500000000000002,63.5
5111064,11.500000000000002,64.5
5111065,11.500000000000002,65.5
